University;scores_overall_rank;scores_teaching_rank;scores_research_rank;scores_citations_rank;scores_industry_income_rank;scores_international_outlook_rank;record_type;member_level;url;nid;location;stats_number_students;stats_student_staff_ratio;stats_pc_intl_students;stats_female_male_ratio;aliases;subjects_offered;closed;unaccredited;disabled
University of Toronto;210;28;15;81;103;122;master_account;0;/world-university-rankings/university-toronto;483;Canada;79.282;25,8;27%;56:44:00;University of Toronto;Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sport Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Other Health,Computer Science,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Law,Sociology,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,Education,Archaeology,Agriculture & Forestry;False;False;False
UCL;220;26;24;9;335;8;master_account;0;/world-university-rankings/ucl;481;United Kingdom;41.110;11,3;61%;59:41:00;UCL ucl UCL;Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry;False;False;False
University of Michigan-Ann Arbor;230;22;23;45;255;421;public;0;/world-university-rankings/university-michigan-ann-arbor;482;United States;45.783;8,1;16%;51:49:00;University of Michigan-Ann Arbor;Chemical Engineering,Accounting & Finance,Archaeology,Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Architecture,Chemistry,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Communication & Media Studies,Law;False;False;False
Carnegie Mellon University;240;32;26;6;182;184;private;0;/world-university-rankings/carnegie-mellon-university;485;United States;13.562;11,9;44%;44:56:00;Carnegie Mellon University;Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy;False;False;False
University of Washington;250;27;29;11;294;362;public;0;/world-university-rankings/university-washington;489;United States;49.486;10,1;16%;56:44:00;University of Washington;Languages, Literature & Linguistics,Economics & Econometrics,Architecture,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Civil Engineering,History, Philosophy & Theology,Archaeology,Chemical Engineering,Education,Other Health,Law,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,Chemistry,Geography,Accounting & Finance,Veterinary Science,Business & Management,Computer Science,Physics & Astronomy,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering;False;False;False
Duke University;260;24;41;36;6;331;private;0;/world-university-rankings/duke-university;487;United States;15.527;3,9;18%;52:48:00;Duke University;Mechanical & Aerospace Engineering,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Civil Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies;False;False;False
Northwestern University;280;37;34;15;50;315;private;0;/world-university-rankings/northwestern-university;490;United States;18.894;13,1;18%;52:48:00;Northwestern University;Civil Engineering,Medicine & Dentistry,Sport Science,Law,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Architecture,Biological Sciences,Geography,Languages, Literature & Linguistics,Chemical Engineering,Psychology,Computer Science,Chemistry,Accounting & Finance,General Engineering,Physics & Astronomy,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Politics & International Studies (incl Development Studies);False;False;False
Technical University of Munich;310;44;25;128;26;208;master_account;6;/world-university-rankings/technical-university-munich;552;Germany;35.506;44,4;39%;37 : 63;Technical University of Munich;Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Business & Management,General Engineering,Mathematics & Statistics,Civil Engineering,Education,Physics & Astronomy,Computer Science,Agriculture & Forestry,Sociology,Chemical Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Chemistry;False;False;False
Georgia Institute of Technology;360;63;33;57;123;190;public;0;/world-university-rankings/georgia-institute-technology;488;United States;32.079;28;29%;34 : 66;Georgia Institute of Technology;Chemical Engineering,Other Health,Languages, Literature & Linguistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Biological Sciences,Geography,Communication & Media Studies,Architecture,Art, Performing Arts & Design,Sociology,General Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Economics & Econometrics,Business & Management,Mathematics & Statistics,Chemistry,Psychology,Civil Engineering,History, Philosophy & Theology;False;False;False
University of British Columbia;410;66;39;118;304;49;master_account;0;/world-university-rankings/university-british-columbia;486;Canada;58.987;19,4;34%;55:45:00;University of British Columbia;Business & Management,Economics & Econometrics,Geography,Education,Civil Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Electrical & Electronic Engineering,Law,Mathematics & Statistics,Sport Science,General Engineering,Architecture,Medicine & Dentistry;False;False;False
University of Illinois at Urbana-Champaign;420;45;31;206;206;502;public;0;/world-university-rankings/university-illinois-urbana-champaign;495;United States;50.250;19,6;23%;51:49:00;University of Illinois at Urbana-Champaign;Computer Science,Mathematics & Statistics,Education,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Psychology,General Engineering,Chemistry,Business & Management,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Archaeology,Veterinary Science,Law,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Agriculture & Forestry,Geography;False;False;False
Shanghai Jiao Tong University;430;29;30;432;24;572;master_account;0;/world-university-rankings/shanghai-jiao-tong-university;801;China;38.472;12,6;9%;37 : 63;Shanghai Jiao Tong University SJTU;Other Health,Medicine & Dentistry,Education,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Chemistry,Biological Sciences,Psychology,History, Philosophy & Theology,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics,Law,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Computer Science,Economics & Econometrics,Chemical Engineering,Accounting & Finance,Sport Science,Architecture,General Engineering,Physics & Astronomy;False;False;False
Fudan University;440;30;43;246;104;658;master_account;0;/world-university-rankings/fudan-university;700;China;38.101;12,6;9%;52:48:00;Fudan University;Archaeology,Other Health,Physics & Astronomy,Economics & Econometrics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Education,Languages, Literature & Linguistics,Biological Sciences,Psychology,Computer Science,Sociology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies);False;False;False
KU Leuven;450;72;48;95;13;259;master_account;11;/world-university-rankings/ku-leuven;531;Belgium;49.435;37,3;19%;52:48:00;KU Leuven;Other Health,Chemistry,Accounting & Finance,Architecture,Agriculture & Forestry,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Sport Science,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law,Computer Science,Chemical Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Biological Sciences,Education;False;False;False
Delft University of Technology;480;51;36;404;5;86;master_account;0;/world-university-rankings/delft-university-technology;568;Netherlands;21.262;15,9;30%;31 : 69;Delft University of Technology;Mechanical & Aerospace Engineering,Education,Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,General Engineering,Mathematics & Statistics,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Business & Management,Other Health,Sport Science,Architecture,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Geography;False;False;False
McGill University;490;68;53;141;315;93;master_account;11;/world-university-rankings/mcgill-university;492;Canada;30.821;11,9;29%;61:39:00;McGill University;Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Biological Sciences,Geography,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Architecture,Chemical Engineering,Psychology;False;False;False
University of Texas at Austin;520;54;42;109;247;881;public;0;/world-university-rankings/university-texas-austin;493;United States;48.558;16,4;8%;55:45:00;University of Texas at Austin;General Engineering,Law,Archaeology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Education,Art, Performing Arts & Design,Computer Science,Geography,Medicine & Dentistry,Physics & Astronomy,Business & Management,Architecture,Sport Science,Sociology,Civil Engineering,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics;False;False;False
Monash University;540;96;58;50;48;115;master_account;0;/world-university-rankings/monash-university;581;Australia;58.460;43,1;38%;56:44:00;Monash University;Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,General Engineering,Chemistry,Psychology,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Veterinary Science,Law,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Other Health,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Sociology,Archaeology,Biological Sciences,Education,Art, Performing Arts & Design,Computer Science,Sport Science,Geography;False;False;False
Kyoto University;550;21;27;779;14;940;master_account;0;/world-university-rankings/kyoto-university;516;Japan;21.817;9;11%;25 : 75;Kyoto University;Mathematics & Statistics,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Psychology,Computer Science,Biological Sciences,History, Philosophy & Theology,Law,Electrical & Electronic Engineering,Architecture,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Accounting & Finance,Agriculture & Forestry,Geography,Other Health,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemical Engineering,Sociology,Sport Science,General Engineering,Business & Management,Communication & Media Studies;False;False;False
University of California, Davis;590;61;57;170;147;271;public;0;/world-university-rankings/university-california-davis;503;United States;37.926;13,3;18%;60:40:00;University of California, Davis;Mathematics & Statistics,Architecture,History, Philosophy & Theology,Law,Civil Engineering,Chemical Engineering,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,General Engineering,Archaeology,Geography,Veterinary Science,Other Health,Psychology,Biological Sciences,Chemistry,Accounting & Finance,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Education,Sport Science,Art, Performing Arts & Design,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences;False;False;False
The University of Sydney;600;115;54;93;91;126;master_account;1;/world-university-rankings/university-sydney;522;Australia;57.414;23,1;51%;58:42:00;The University of Sydney UniSyd;Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Veterinary Science,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Law,Computer Science,Mathematics & Statistics,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Education,Archaeology,Chemical Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Geography,General Engineering,Sport Science,Sociology;False;False;False
University of Amsterdam;610;99;74;33;292;80;master_account;1;/world-university-rankings/university-amsterdam;556;Netherlands;28.649;13,2;36%;60:40:00;University of Amsterdam uva;Computer Science,Other Health,History, Philosophy & Theology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Psychology,Communication & Media Studies,Economics & Econometrics,Law,Biological Sciences,Sociology,Languages, Literature & Linguistics,Education,Geography,Mathematics & Statistics,Business & Management,Physics & Astronomy,Chemistry,Archaeology,Accounting & Finance,Medicine & Dentistry;False;False;False
Wageningen University & Research;660;90;85;63;74;95;master_account;0;/world-university-rankings/wageningen-university-research;540;Netherlands;15.899;18,1;28%;54:46:00;Wageningen University & Research;Other Health,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Chemistry,Biological Sciences,Chemical Engineering,Sociology,Agriculture & Forestry,Business & Management,Communication & Media Studies;False;False;False
The University of Queensland;700;113;70;136;43;64;master_account;11;/world-university-rankings/university-queensland;538;Australia;42.847;39,1;42%;55:45:00;The University of Queensland UQ UOQ;Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Law,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Economics & Econometrics,Medicine & Dentistry,Agriculture & Forestry,Education,General Engineering,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Biological Sciences,Sociology,History, Philosophy & Theology,Sport Science,Business & Management,Archaeology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Veterinary Science,Geography;False;False;False
Institut Polytechnique de Paris;710;39;79;542;71;21;master_account;0;/world-university-rankings/institut-polytechnique-de-paris;688843;France;6.073;6,8;42%;25 : 75;Institut Polytechnique de Paris;Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Other Health,Physics & Astronomy,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sociology,Computer Science,Biological Sciences,Business & Management,Chemistry;False;False;False
Nanjing University;730;59;78;203;97;544;master_account;0;/world-university-rankings/nanjing-university;727;China;36.711;16,7;8%;54:46:00;Nanjing University;Archaeology,Architecture,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Biological Sciences,Law,Languages, Literature & Linguistics,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Chemical Engineering,Education,Other Health,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Geography,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics;False;False;False
University of Southern California;740;79;90;85;345;345;private;0;/world-university-rankings/university-southern-california;519;United States;44.083;14,2;24%;49:51:00;University of Southern California;Mathematics & Statistics,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Archaeology,Business & Management,Chemistry,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Geography,Chemical Engineering,Medicine & Dentistry,Sport Science,Sociology,Communication & Media Studies,General Engineering,Accounting & Finance,Education,Electrical & Electronic Engineering,Architecture,Civil Engineering,History, Philosophy & Theology,Biological Sciences;False;False;False
Leiden University;770;190;75;75;87;153;master_account;6;/world-university-rankings/leiden-university;543;Netherlands;35.072;19,3;21%;60:40:00;Leiden University;Architecture,Politics & International Studies (incl Development Studies),Other Health,Law,History, Philosophy & Theology,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Computer Science,Education,Chemistry,Biological Sciences,Psychology,Medicine & Dentistry,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences;False;False;False
Boston University;780;76;115;56;311;347;private;0;/world-university-rankings/boston-university;518;United States;26.677;10,8;29%;58:42:00;Boston University;Electrical & Electronic Engineering,Architecture,Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Law,Archaeology,Sociology,History, Philosophy & Theology,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Psychology,Business & Management,Physics & Astronomy,Computer Science,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Geography,Other Health,Economics & Econometrics;False;False;False
University of Groningen;790;166;100;52;30;75;master_account;11;/world-university-rankings/university-groningen;598;Netherlands;31.942;28,8;29%;53:47:00;University of Groningen;Archaeology,Communication & Media Studies,Geography,History, Philosophy & Theology,Mathematics & Statistics,Psychology,Politics & International Studies (incl Development Studies),Education,Chemical Engineering,Accounting & Finance,Computer Science,Sociology,General Engineering,Physics & Astronomy,Law,Other Health,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Chemistry,Business & Management,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences;False;False;False
University of Zurich;800;103;121;96;131;96;master_account;0;/world-university-rankings/university-zurich;525;Switzerland;25.608;14,7;24%;58:42:00;University of Zurich;Business & Management,Accounting & Finance,Veterinary Science,Physics & Astronomy,Sociology,Education,Chemistry,Geography,Archaeology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Biological Sciences,Other Health,Communication & Media Studies,Law,Computer Science,Agriculture & Forestry,Art, Performing Arts & Design,Psychology,Economics & Econometrics,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Medicine & Dentistry;False;False;False
University of Bristol;810;148;105;26;378;91;master_account;11;/world-university-rankings/university-bristol;530;United Kingdom;27.335;14,8;31%;55:45:00;University of Bristol;Archaeology,Veterinary Science,Accounting & Finance,Civil Engineering,Geography,Other Health,Mathematics & Statistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Chemistry,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Education,Electrical & Electronic Engineering,Sociology,Business & Management,Art, Performing Arts & Design,Biological Sciences,Psychology,History, Philosophy & Theology,Physics & Astronomy;False;False;False
City University of Hong Kong;820;116;124;105;4;2;master_account;11;/world-university-rankings/city-university-hong-kong;657;Hong Kong;9.076;13,2;67%;54:46:00;City University of Hong Kong CityU HK;Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Accounting & Finance,Chemistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Business & Management,Economics & Econometrics,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science,Psychology,Communication & Media Studies;False;False;False
